"event_id","lat_median","long_median","timezone","heart_rate_median","heart_rate_50w","heart_rate_10","heart_rate_25","heart_rate_75","heart_rate_90","heart_rate_10w","heart_rate_25w","heart_rate_75w","heart_rate_90w","heart_rate_sdw","heart_rate_min","heart_rate_max","cadence_median","heart_rate_mean","heart_rate_mean_na","temperature_median","temperature_median_v2","temperature_mean_na","median_cadence","cadence_mean","cadence_10","cadence_25","cadence_75","cadence_90","cadence_10w","cadence_25w","cadence_75w","cadence_90w","altitude_min","altitude_amean","altitude_max","altitude_ascended","altitude_descended","total_distance","speed_average","speed_median","speed_10","speed_25","speed_75","speed_90","speed_50w","speed_10w","speed_25w","speed_75w","speed_90w","speed_max","speed_sd","speed_sdw","timestamp_start_run","timestamp_end_run","datetime_ts","heart_rate_speed_cor","heart_rate_speed_cor_2","heart_rate_temp_cor","heart_rate_temp_cor_2","speed_distance_cor","speed_distance_cor_spearman","speed_cadence_cor","heart_rate_cadence_cor","sub_sport","direction_n_avg","direction_ne_avg","direction_e_avg","direction_se_avg","direction_s_avg","direction_sw_avg","direction_w_avg","direction_nw_avg","mean_rotation_velocity","mean_abs_rotation_velocity","total_angle_delta","total_abs_angle_delta","griddiness","griddiness_v2","orientation_center","orientation_sd","n_laps","rest_time_total","n_rests","rest_time_average","rest_time_min","rest_time_max","rest_time_median","rest_time_sd","n_laps_over_15","lap_trigger_distance","lap_trigger_session_end","lap_trigger_manual","lap_trigger_other","strides_total","lap_speed_sd","n_laps_00_to_05","n_laps_05_to_06","n_laps_06_to_07","n_laps_07_to_08","n_laps_08_to_09","n_laps_09_to_10","n_laps_10_to_11","n_laps_11_to_12","n_laps_12_to_13","n_laps_13_to_14","n_laps_14_to_15","n_laps_15_to_16","n_laps_16_to_17","n_laps_17_to_18","n_laps_18_to_19","n_laps_19_to_20","n_laps_20_to_22","n_laps_22_to_25","n_laps_25_plus","start_to_stop_time_mean","start_to_stop_time_median","start_to_stop_time_min","start_to_stop_time_max","timestamp_start","timestamp_stop","total_time_elapsed","speed_proportion__0_5","speed_proportion__5_6","speed_proportion__6_7","speed_proportion__7_8","speed_proportion__8_9","speed_proportion__9_10","speed_proportion__10_11","speed_proportion__11_12","speed_proportion__12_13","speed_proportion__13_14","speed_proportion__14_15","speed_proportion__15_16","speed_proportion__16_17","speed_proportion__17_18","speed_proportion__18_19","speed_proportion__19_20","speed_proportion__20_22","speed_proportion__22_25","speed_proportion__25","total_time_spent_running","proportion_time_spent_running","proportion_rest_time"
1,41.9660274870694,-87.6469390187413,"America/Chicago",151,150.352473227,137,144,153,155,137.320810325153,143.4016803419,152.14338294089,154.268251168802,12.0783685646062,69,159,81,145.828346456693,0,NA,NA,1,81,80.3633858267716,80,80,81,82,79.5747110187554,79.7761430988309,80.9167054772589,81.9118222635193,160.8,178.671811023622,206,14.3827959225693,14.0307703112471,4.83519,13.5630113385827,13.4874,12.8988,13.1004,14.3424,14.7816,13.5502214854111,12.8896032882261,13.1382212996954,14.3416773409816,14.814605143065,15.4836,1.57455782387368,0.884798854904812,1506028652,1506029970,"2017-09-21_21-17-32",0.495403021194106,0.225451428203415,NA,NA,0.0471864941151802,-0.240663660602593,0.643039077294676,0.352391292476422,"generic",0.147826086956522,0.0561264822134387,0.578656126482213,0,0,0,0.103557312252964,0.113833992094862,0.0931088387047926,6.60328597157326,118.248225155087,8386.17318389804,0.182954185595203,0.65748031496063,120.680199804559,64.2885273704456,0,0,0,NA,NA,NA,NA,NA,3,3,1,0,0,1702,0.717225654867421,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,634,634,153,1115,1506028652,1506029970,1318,0.0110236220472441,0.00078740157480315,0,0.00078740157480315,0,0.0015748031496063,0.0062992125984252,0.0047244094488189,0.158267716535433,0.440157480314961,0.307874015748031,0.068503937007874,0,0,0,0,0,0,0,1318,1,0
2,41.975176166743,-87.6502564921975,"America/Chicago",158,157.631892339796,144,152,161,162,143.371480328118,151.593266222533,160.145914431577,161.923069481372,7.19434495297767,64,168,81,155.442131047152,0,NA,NA,1,81,81.1442131047152,80,81,82,82.5,68.0344360736493,80.6186652286115,81.8453165317729,82.2840579367666,169.6,192.049601959584,228.8,14.1675484876333,33.0221589781469,5.98351,13.0402471524801,13.1328,12.4272,12.9312,13.4352,13.7736,13.1435492154557,12.4624693556011,12.9291277272666,13.4500413866248,13.7775537926988,14.9472,1.1768344826025,0.734474040361136,1506101367,1506103010,"2017-09-22_17-29-27",0.305769029211476,-0.410956173180176,NA,NA,0.196049487054346,0.0955684580197244,0.594946125585411,0.521100596287147,"generic",0.231572481572482,0.0233415233415233,0.587223587223587,0,0,0,0.035012285012285,0.122850122850123,0.0903129153225528,5.83702379600596,147.480990721729,9531.85985887773,0.245165181268488,0.705450091855481,158.923647301155,40.7358349911249,0,0,0,NA,NA,NA,NA,NA,4,3,1,0,0,2210,0.306493719348375,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,815.5,815.5,152,1479,1506101367,1506103010,1643,0.00551132884262094,0.000612369871402327,0.000612369871402327,0.00489895897121862,0.00244947948560931,0.00122473974280465,0.00428658909981629,0.033680342927128,0.312921004286589,0.589712186160441,0.0440906307409675,0,0,0,0,0,0,0,0,1643,1,0
3,41.9644287228584,-87.6429421920329,"America/Chicago",161,160.624177246358,133.5,151,166,169,134.796668583162,152.548012864691,165.237421814183,168.473659562661,12.5358718726966,72,179,82,156.49213836478,0,NA,NA,1,82.5,82.312106918239,81,82,83.5,85.5,80.700271015573,81.6363877433086,83.4581942501717,85.2378321980405,155.2,178.924318658281,229.4,8.58802097214345,5.35764162389034,14.54317,13.4287113207547,13.536,11.8224,12.7296,14.5116,15.1812,13.8116300728408,12.0606473569515,12.8189438705234,14.6072419720882,15.285800987074,22.9104,2.14864623805012,1.54413185717116,1506175065,1506180208,"2017-09-23_13-57-45",0.504782742187891,0.427405832932778,NA,NA,-0.190332921041216,-0.279012867642339,0.535864366621768,0.287720461253545,"generic",0.151666229336132,0.0327997900813435,0.618472841773813,0,0,0,0.0511676725268958,0.145893466281816,0.00537079917549658,7.55768560060617,20.494969653695,28840.1282519132,0.153671092774434,0.641771488469602,119.062908938254,54.5466349508214,5,1334,7,190.571428571429,2,712,117,316.336371604658,24,0,1,23,0,5226,2.54566336105662,0,0,0,0,0,0,0,1,3,9,8,1,0,1,0,0,0,1,0,476.125,271,1,1375,1506175065,1506180208,5143,0.0165094339622642,0.000786163522012579,0.0010482180293501,0.00157232704402516,0.00183438155136268,0.00183438155136268,0.0191299790356394,0.0835953878406709,0.246593291404612,0.226939203354298,0.27541928721174,0.0731132075471698,0.0314465408805031,0.0131027253668763,0.00419287211740042,0.00131027253668763,0.000524109014675052,0.0010482180293501,0,3809,0.740618316157885,0.259381683842116
4,41.9404181744903,-87.6376825477928,"America/Chicago",148,148.030028927282,143,146,156,159,142.847634590439,145.492287362353,155.166701073493,158.600825302569,7.62411470209295,76,170,82,149.410611549116,0,NA,NA,1,82,81.6202855316429,80,81,82.5,83.5,79.7654315287884,80.5869362378781,82.2958686594772,83.2827691664078,170.8,186.046068612828,240.4,32.368679200728,13.5781508833802,16.39248,12.5191814191349,12.528,11.6892,12.1608,13.068,13.4712,12.5400270682192,11.7205390517506,12.1644613817538,13.0845868185565,13.4682165455675,14.7816,1.01715336508803,0.75053609700731,1506267289,1506272227,"2017-09-24_15-34-49",0.425492801617327,0.354794181775461,NA,NA,-0.402737524882001,-0.695294951455029,0.439641221820507,0.181478701015403,"generic",0.28882252559727,0.0234641638225256,0.515784982935154,0,0,0,0.0168515358361775,0.155076791808874,-0.0268405063074283,3.71357808891464,-125.962496100761,17427.8219712764,0.208918613780016,0.642233113147241,163.795348374963,27.0437445515663,3,203,3,67.6666666666667,2,130,71,64.0650710866173,11,10,1,0,0,6365,0.487822763641953,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,669.571428571429,460,64,2182,1506267289,1506272227,4938,0.00383549968037503,0.00106541657788195,0.000852333262305561,0.00127849989345834,0.00021308331557639,0.00149158320903473,0.00788408267632644,0.184956317920307,0.533986788834434,0.248668229277648,0.0157681653526529,0,0,0,0,0,0,0,0,4735,0.958890238963143,0.041109761036857
5,41.9652874488384,-87.6481601782143,"America/Chicago",161,160.43888402222,148,155,165,166,147.926200792111,154.978062518528,164.146877882324,165.573791094239,7.15261739209908,56,170,83,158.416067929458,0.00260586319218241,NA,NA,1,83.5,83.3087947882736,82,83,84.5,85.5,81.876285872795,82.7320754447518,84.2672951710985,85.2820735987872,167,189.593745928339,274.4,42.4300797721944,29.1791185980129,5.64658,13.0988872964169,13.4352,11.9592,12.7656,13.9752,14.1768,13.4722388793291,12.235736230182,12.8887083449623,13.9889094974416,14.171493128101,14.7816,1.60354106217245,1.02433947939218,1506382756,1506384318,"2017-09-25_23-39-16",0.523053112045986,0.251813088388758,NA,NA,0.40139712762979,0.377907568400189,0.710950479571054,0.508563965012343,"generic",0.0372549019607843,0.0405228758169935,0.663398692810457,0,0,0,0.102614379084967,0.156209150326797,0.0696582685580155,3.37160513733464,106.925442236554,5175.41388580868,0.191804341395255,0.604560260586319,102.429167802735,38.5050458845737,0,0,0,NA,NA,NA,NA,NA,4,3,1,0,0,2128,0.649933781242365,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,510.666666666667,45,7,1480,1506382756,1506384318,1562,0.00846905537459283,0.00195439739413681,0.00260586319218241,0.00586319218241042,0.00456026058631922,0.00521172638436482,0.0201954397394137,0.0553745928338762,0.200651465798046,0.457980456026059,0.237133550488599,0,0,0,0,0,0,0,0,1562,1,0
6,41.9651760114357,-87.6457685697824,"America/Chicago",148,159.367140477879,119,125,166,170,120.14152838643,131.13427718208,166.643182591204,169.736268361061,20.538641907059,73,178,83,144.887678122381,0,18,18,0,83,81.8028080469405,80,81,84.5,86,80.5674823961782,81.8295415556385,84.4221279817815,86.1963628827811,155.6,170.835959765298,220.2,14.8592541337194,28.489221290152,10.05552,14.8361597652976,16.4268,9.6084,11.1168,18.5436,19.4832,17.4995344579305,10.3665887513007,13.1020689041941,18.8424945558739,19.6148966833122,21.2292,4.19818120885955,3.58475105454344,1506556103,1506561103,"2017-09-27_23-48-23",0.838459130922114,0.864648850271014,-0.196553930347785,0.00731870818026585,-0.0861355583724862,-0.164346903166769,0.51015581742509,0.390743667009769,"generic",0.147837043259135,0.161276774464511,0.561108777824443,0,0,0,0.0550188996220076,0.0747585048299034,0.0232748510784493,6.66767195329118,55.53379467318,15909.0652805528,0.125126840839082,0.526823134953898,24.1967706135552,49.3421455303764,8,2600,9,288.888888888889,19,781,183.5,272.060392455163,12,0,1,11,0,3260,8.62776044426573,1,0,0,0,0,0,1,1,0,1,0,0,1,2,2,2,0,0,1,215.909090909091,245,2,457,1506556103,1506561103,5000,0.0176026823134954,0.00167644593461861,0.00125733445096396,0.00167644593461861,0.00796311818943839,0.112740989103101,0.085498742665549,0.107292539815591,0.0284995808885163,0.0704107292539816,0.0511316010058676,0.00125733445096396,0.085498742665549,0.0708298407376362,0.190276613579212,0.138306789606035,0.0280804694048617,0,0,2400,0.48,0.52
7,41.9671836867929,-87.6468593487516,"America/Chicago",148,148.251743733938,136,146,150,153,143.441045169775,146.053752429336,149.995457463092,153.224852563909,9.8288589598431,64,163,81,144.525531914894,0,17,17,0,81,78.7879432624113,80,81,82,83,79.7397254848477,80.5692189310452,81.966156419423,82.8480409833192,162.6,175.538156028369,272.4,6.10746536812678,21.0539564632186,5.41969,13.4471182978723,13.8744,12.05316,13.068,14.7816,15.4188,14.0037206215527,12.6100873375143,13.2476778621812,14.8444833832995,15.5927308596451,18.6084,2.78189605632892,1.56115278029698,1506727762,1506729171,"2017-09-29_23-29-22",0.842520077726191,0.251304055251411,-0.574916567497781,0.120096810729513,0.259126005140243,-0.0572298727670566,0.689546869198612,0.546562206093411,"generic",0.202846975088968,0.100355871886121,0.518149466192171,0,0,0,0.0590747330960854,0.119572953736655,-0.047789768140818,5.82111019856226,-67.3835730785534,8207.76537997279,0.133431426449539,0.558156028368794,176.682292816177,44.2672108005143,0,0,0,NA,NA,NA,NA,NA,7,1,1,5,0,1839,0.836083276781857,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,1409,1409,1409,1409,1506727762,1506729171,1409,0.0304964539007092,0.00141843971631206,0.0049645390070922,0.00354609929078014,0.0141843971631206,0.0127659574468085,0.0212765957446809,0.0113475177304965,0.135460992907801,0.302127659574468,0.298581560283688,0.124822695035461,0.0170212765957447,0.0191489361702128,0.00283687943262411,0,0,0,0,1409,1,0
8,41.9746142858639,-87.649860070087,"America/Chicago",153,152.541533031175,149,151,155,160,148.389105210645,150.462069964879,154.663039751191,159.316252204805,6.26862728039322,75,170,82,152.765587529976,0,20,20,0.0179856115107914,82,82.0677458033573,81,82,83,83,80.6957927142124,81.5457300330805,82.4143810768971,82.997751166441,164.2,179.090407673861,213,4.32634368746247,24.1897152899407,6.50893,14.021581294964,14.1768,13.302,13.8654,14.3784,14.7132,14.1677955100518,13.3499183198708,13.8925918398704,14.3890951408395,14.7388406995739,17.4996,1.11254332888339,0.919751293083529,1506786763,1506788430,"2017-09-30_15-52-43",0.731868269803769,0.57242677588539,0.0615492288588943,0.216639011734877,0.196256460371282,0.293463683914828,0.584254079485294,0.598333863060305,"generic",0.289837642814191,0.0180396873120866,0.535778713168972,0,0,0,0.0114251352976548,0.144918821407096,-0.121910270709257,4.83648079521711,-203.34633154304,8067.24996642214,0.250537295187809,0.672062350119904,162.380215326904,31.1021966999105,0,0,0,NA,NA,NA,NA,NA,5,4,1,0,0,2269,0.985271398143679,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,1667,1667,1667,1667,1506786763,1506788430,1667,0.00299760191846523,0.00179856115107914,0.00119904076738609,0.00119904076738609,0.00179856115107914,0.00479616306954436,0.00479616306954436,0.00779376498800959,0.0383693045563549,0.248201438848921,0.63189448441247,0.0335731414868106,0.01378896882494,0.00779376498800959,0,0,0,0,0,1667,1,0
9,41.9825143553317,-87.6549728214741,"America/Chicago",158,157.789755578238,141,147,162,164,141.273611892204,147.007167636571,161.841190788624,164.72090784044,11.8952718163796,77,170,82,153.625988700565,0,15,15,0.0395480225988701,82,80.616384180791,81,82,83.5,84.5,80.9912401503026,81.6820969608512,83.0962676392118,84.3801013077194,172,211.89581920904,278.4,9.1548165025325,25.7923085212516,3.27387,12.0575755932203,12.4956,10.278,11.4552,13.1004,13.69224,12.6731529507068,10.5788147260973,11.734528475199,13.174389228252,13.8471071613908,20.9268,2.35575143494994,1.57609065883142,1506863028,1506863988,"2017-10-01_13-03-48",0.315162345601687,0.374996494363031,0.142632023456472,0.153955187257911,-0.0607760977587167,-0.0450218107775381,0.670118308875143,0.402060318783901,"generic",0.871590909090909,0.05,0.0227272727272727,0,0,0,0.0136363636363636,0.0420454545454545,-0.149138859296093,2.62434132135892,-131.987890477042,2322.54206940265,0.390737783338024,0.811299435028249,177.974304619109,17.8976592147771,1,54,3,18,54,54,54,NA,2,2,1,0,0,1221,0.0458205194208883,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,176,212,6,283,1506863028,1506863988,960,0.0259887005649717,0.00451977401129944,0,0.00451977401129944,0.00903954802259887,0.0259887005649717,0.108474576271186,0.187570621468927,0.355932203389831,0.213559322033898,0.031638418079096,0.0169491525423729,0.00564971751412429,0.00225988700564972,0.00677966101694915,0,0.00112994350282486,0,0,906,0.94375,0.05625
10,41.9865570310503,-87.653998718597,"America/Chicago",166,165.329598736241,162,163,169,172,161.107524480803,162.843809741106,168.403733718917,171.222065738884,6.07180938255855,121,175,83,165.435946462715,0,15,15,0.0124282982791587,83,83.4187380497132,82,82,84.5,85.5,81.5654307628548,81.9714728541339,84.0971912935108,85.3921236387551,154.8,185.78068833652,232.8,36.0984204088037,9.61537337799078,4.79054,16.4100940726577,16.1244,15.4188,15.6852,17.0964,18.0036,16.2085972550636,15.4413917614166,15.7124278934111,17.1564519714765,18.1377862671165,20.1204,1.25669117225809,1.13825640575646,1506864585,1506865631,"2017-10-01_13-29-45",-0.003746183793633,0.562130898220068,-0.0109175299710681,0.465904312665439,-0.106920441580983,-0.0677415517070508,0.706241995023298,-0.107833201614471,"generic",0.33909702209414,0.0048030739673391,0.51969260326609,0,0,0,0.0115273775216138,0.124879923150817,-0.1495329043401,8.84720372034469,-156.411417939745,9254.17509148055,0.279784341944049,0.737093690248566,168.395073859851,20.9173162148285,0,0,0,NA,NA,NA,NA,NA,4,2,1,1,0,1488,0.724082674837619,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1046,1046,1046,1046,1506864585,1506865631,1046,0.00286806883365201,0.000956022944550669,0,0,0,0,0,0,0,0.000956022944550669,0.00573613766730402,0.444550669216061,0.279158699808795,0.162523900573614,0.0764818355640535,0.0239005736137667,0.00286806883365201,0,0,1046,1,0
