STUDENT_ID,GENDER,AGE_1_YEAR,REGION,DEPARTMENT,GRADE_204111,GRADE_204222,GRADE_204333,GRADE_204444,GRADE_204555,GRADE_204666
3696,m,High,Northen,Chemical Engineering,Medium,High,High,High,High,High
3792,m,High,Southern,Environmental Engineering,High,High,High,High,High,High
4172,m,High,Bangkok,Civil Engineering,High,High,High,High,Medium,High
4363,m,Medium,Central,Electrical Engineering,Medium,Medium,High,High,High,High
4554,f,Low,Bangkok,Environmental Engineering,High,High,High,High,High,Medium
4649,f,Medium,Central,Environmental Engineering,High,High,Medium,Medium,High,High
5032,m,High,Bangkok,Electrical Engineering,Medium,High,Medium,High,High,High
5128,f,High,Southern,Machanic Engineering,High,High,Medium,High,High,High
5324,f,Low,Southern,Electrical Engineering,High,High,Medium,Medium,High,High
5326,m,Low,Northeastern,Electrical Engineering,High,High,High,Medium,High,High
5328,m,High,Bangkok,Civil Engineering,High,High,High,High,High,Medium
5330,m,Medium,Northeastern,Electrical Engineering,High,High,Medium,Medium,High,Medium
5332,m,Low,Southern,Chemical Engineering,Medium,High,High,High,High,High
5335,m,Medium,Southern,Electrical Engineering,High,High,High,Medium,High,High
5338,m,Low,Northeastern,Computer Engineering,High,High,High,Medium,High,Medium
5341,m,High,Southern,Civil Engineering,High,Medium,Medium,High,High,High
5344,m,High,Southern,Chemical Engineering,Medium,High,High,High,High,High
5346,f,Low,Northeastern,Electrical Engineering,High,High,High,High,High,High
5347,m,Medium,Central,Chemical Engineering,High,Medium,High,High,High,High
5350,f,Medium,Northeastern,Electrical Engineering,High,High,High,High,High,High
5352,m,High,Northen,Machanic Engineering,High,High,High,High,High,High
5353,m,Medium,Central,Electrical Engineering,High,Medium,High,High,High,Medium
5354,m,Low,Southern,Electrical Engineering,High,Medium,High,High,High,Medium
5356,m,Low,Bangkok,Chemical Engineering,Medium,High,Medium,High,High,High
5357,m,Medium,Central,Electrical Engineering,High,High,Medium,High,High,High
5359,m,Medium,Central,Civil Engineering,High,Medium,Medium,High,Medium,High
5360,m,Medium,Central,Machanic Engineering,High,High,High,High,High,Medium
5361,m,Medium,Central,Machanic Engineering,Medium,High,High,High,High,High
5362,m,High,Northeastern,Civil Engineering,High,High,High,High,High,Medium
5366,m,Low,Southern,Computer Engineering,High,Medium,High,High,Medium,High
5368,m,High,Central,Electrical Engineering,Medium,High,Medium,High,High,High
5370,m,Medium,Southern,Electrical Engineering,High,High,High,Medium,Medium,High
5372,m,Low,Northeastern,Environmental Engineering,High,High,High,Medium,Medium,High
5374,m,Low,Central,Environmental Engineering,High,High,High,Medium,Medium,High
5376,m,High,Northen,Chemical Engineering,Medium,High,Medium,High,High,High
5377,f,Medium,Southern,Environmental Engineering,High,High,High,High,Medium,Medium
5378,m,Low,Bangkok,Environmental Engineering,High,High,Medium,Medium,High,High
5382,m,Low,Southern,Computer Engineering,High,High,Medium,High,High,High
5386,m,Low,Northeastern,Electrical Engineering,High,High,High,Medium,High,High
5388,m,Low,Northeastern,Chemical Engineering,Medium,High,High,High,High,High
5389,f,Medium,Southern,Chemical Engineering,High,High,High,High,High,High
5390,m,Medium,Northeastern,Electrical Engineering,High,High,Medium,Medium,High,Medium
5226,m,Low,Northen,Computer Engineering,High,High,High,High,High,High
5230,m,Medium,Southern,Electrical Engineering,High,Medium,Medium,High,High,Medium
5232,m,High,Central,Chemical Engineering,Medium,High,High,High,High,Medium
5234,f,Low,Northen,Civil Engineering,High,Medium,High,High,High,Medium
5235,f,Medium,Southern,Environmental Engineering,High,Medium,Medium,High,Medium,High
5238,m,Low,Northen,Chemical Engineering,High,High,Medium,Medium,Medium,High
5244,m,Low,Southern,Chemical Engineering,High,Medium,High,High,High,Medium
5246,f,Low,Bangkok,Electrical Engineering,High,High,High,Medium,Medium,High
5248,m,High,Northeastern,Environmental Engineering,Medium,High,High,High,Medium,High
5250,m,Medium,Bangkok,Electrical Engineering,High,High,High,Medium,High,High
5252,m,Low,Southern,Machanic Engineering,High,High,Medium,Medium,High,High
5255,m,Medium,Central,Machanic Engineering,High,High,High,High,Medium,High
5256,m,High,Northeastern,Electrical Engineering,Medium,High,Medium,High,High,High
5265,m,Medium,Southern,Electrical Engineering,High,High,High,High,High,Medium
5266,m,Low,Northen,Environmental Engineering,Medium,High,High,High,High,High
5268,m,Low,Central,Electrical Engineering,High,High,High,High,Medium,Medium
5270,m,Medium,Northen,Environmental Engineering,High,High,High,High,Medium,High
5271,m,High,Southern,Environmental Engineering,Medium,Medium,High,High,Medium,Medium
5272,m,High,Northeastern,Civil Engineering,High,High,High,High,High,High
5274,m,Low,Northeastern,Machanic Engineering,High,High,High,High,High,Medium
5275,m,Medium,Central,Chemical Engineering,High,High,Medium,High,Medium,High
5276,m,Low,Southern,Chemical Engineering,Medium,High,High,High,High,High
5278,m,High,Bangkok,Civil Engineering,High,High,High,High,High,Medium
5286,m,Low,Central,Machanic Engineering,High,High,High,High,High,Medium
5290,f,Medium,Northen,Machanic Engineering,Medium,Medium,High,High,High,High
5294,m,Low,Central,Environmental Engineering,High,High,Medium,Medium,High,High
5296,m,High,Central,Electrical Engineering,High,High,High,Medium,High,High
5297,m,Medium,Central,Electrical Engineering,Medium,High,High,High,Medium,High
5298,m,Low,Central,Electrical Engineering,High,High,Medium,High,High,High
5300,m,Medium,Northen,Chemical Engineering,High,High,High,Medium,High,Medium
5304,m,High,Bangkok,Environmental Engineering,High,High,Medium,Medium,High,High
